player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Average_Bonus,Points_Standard_Deviation
Toti,11,0.12222222222222222,0,0,0,0,0,0,1,1,0,NA
Trent Alexander-Arnold,90,1,0,1,0,0,0,1,5,5,1,NA
Trevoh Chalobah,78,0.8666666666666667,0,0,0,1,0,0,0,0,0,NA
Tyler Adams,90,1,0,0,0,0,0,1,3,3,1,NA
Tyrone Mings,90,1,0,1,0,0,0,2,7,7,2,NA
Vicente Guaita,90,1,0,0,0,0,0,0,0,0,0,NA
Victor Lindelöf,87,0.9666666666666667,0,0,1,0,0,0,6,6,0,NA
Virgil van Dijk,45,0.5,0,0,0,0,0,0,0,0,0,NA
Vitalii Mykolenko,90,1,0,0,0,0,0,0,0,0,0,NA
Vitaly Janelt,86,0.9555555555555556,0,0,0,0,0,0,2,2,0,NA
Vladimir Coufal,67,0.7444444444444445,0,0,0,0,0,0,2,2,0,NA
Wilfred Ndidi,71,0.7888888888888889,0,0,0,1,0,0,1,1,0,NA
Wilfried Gnonto,90,1,1,0,0,0,0,3,9,9,3,NA
Wilfried Zaha,90,1,0,0,0,0,0,0,2,2,0,NA
Will Hughes,16,0.17777777777777778,0,0,0,0,0,0,1,1,0,NA
William Saliba,90,1,0,0,1,0,0,1,7,7,1,NA
Willian,163,1.8111111111111111,1,1,1,0,0,2,15,15,2,NA
Willy Boly,90,1,0,0,1,0,0,1,7,7,1,NA
Wout Faes,90,1,0,0,0,0,0,0,2,2,0,NA
Yoane Wissa,73,0.8111111111111111,1,0,0,0,0,1,8,8,1,NA
Youri Tielemans,90,1,0,0,0,0,0,0,2,2,0,NA
Zanka,90,1,0,0,0,1,0,0,1,1,0,NA
