player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Points_Standard_Deviation
Jorginho,1063,11.811111111111112,2,0,4,3,0,5,43,2.8666666666666667,2.8250579429371676
José Sá,1530,17,0,0,4,0,0,6,68,4,4.257346591481601
Joseph Gomez,900,10,0,0,4,2,0,5,40,2.857142857142857,3.0091435749968887
Joseph Hodge,136,1.511111111111111,0,0,0,1,0,0,3,0.75,0.5
Josh Dasilva,755,8.38888888888889,3,1,2,1,0,0,43,2.5294117647058822,2.452489731345055
Josh Onomah,14,0.15555555555555556,0,0,0,0,0,0,2,1,0
Juan Larios,150,1.6666666666666667,0,0,0,0,0,0,4,0.8,0.44721359549995793
Julián Álvarez,357,3.966666666666667,3,0,2,0,0,5,33,2.5384615384615383,3.5966508637755537
Julio Enciso,92,1.0222222222222221,0,1,0,1,0,0,5,1.6666666666666667,1.1547005383792515
Júnior Firpo,113,1.2555555555555555,0,0,0,0,0,0,2,1,0
Junior Stanislas,58,0.6444444444444445,0,0,0,0,0,0,4,1,0
Kai Havertz,1061,11.78888888888889,4,1,4,3,0,8,51,3.4,3.3338094898007764
Kalidou Koulibaly,922,10.244444444444444,1,0,4,2,1,2,37,3.3636363636363638,3.324837658374534
Kalvin Phillips,1,0.011111111111111112,0,0,0,0,0,0,1,1,NA
Kaoru Mitoma,488,5.4222222222222225,2,2,0,0,0,1,32,2.909090909090909,2.6628760937957834
Keane Lewis-Potter,282,3.1333333333333333,0,1,0,0,0,0,11,1.5714285714285714,1.1338934190276817
Kelechi Iheanacho,248,2.7555555555555555,1,1,0,0,0,0,20,1.6666666666666667,1.6143297699232972
Kenny Tete,888,9.866666666666667,0,4,2,5,0,0,31,2.8181818181818183,2.1362669223756576
Kepa,675,7.5,0,0,4,0,0,5,41,5.125,3.6425069859723185
Kevin De Bruyne,1310,14.555555555555555,3,10,5,1,0,13,93,5.8125,3.9533740863554345
Kevin Mbabu,141,1.5666666666666667,0,1,0,1,0,0,7,1.1666666666666667,0.983192080250175
Kieffer Moore,919,10.21111111111111,4,0,3,0,0,3,46,2.7058823529411766,3.077432084594901
Kieran Tierney,447,4.966666666666667,0,0,1,0,0,0,21,1.5,1.4005493427717788
Kieran Trippier,1504,16.711111111111112,1,5,11,4,0,23,116,6.823529411764706,3.3210558207753573
Kiernan Dewsbury-Hall,1314,14.6,2,3,6,1,0,5,61,3.588235294117647,2.785202495542554
Konstantinos Tsimikas,391,4.344444444444444,0,3,1,1,0,0,23,2.090909090909091,2.9817627489304193
Kristoffer Ajer,502,5.5777777777777775,0,0,2,0,0,0,15,2.5,2.8106938645110393
Kurt Zouma,1184,13.155555555555555,1,0,3,0,0,6,47,3.357142857142857,4.049827021132989
Kyle Walker,560,6.222222222222222,0,0,3,0,0,0,23,3.2857142857142856,2.5634797778466227
Kyle Walker-Peters,1133,12.588888888888889,1,0,1,2,0,0,26,2,2.1984843263788196
Layvin Kurzawa,45,0.5,0,0,0,0,0,0,0,0,NA
Leander Dendoncker,512,5.688888888888889,0,0,2,0,0,0,20,1.5384615384615385,0.7762500258061847
Leandro Trossard,1316,14.622222222222222,7,3,4,1,0,5,83,5.1875,5.009574166866216
Leon Bailey,975,10.833333333333334,3,2,4,4,0,4,53,3.3125,3.4199171529926473
Levi Colwill,282,3.1333333333333333,0,0,0,0,0,0,5,1,0.7071067811865476
Lewis Cook,1361,15.122222222222222,0,2,3,2,0,1,40,2.3529411764705883,1.3200935795706035
Lewis Dunk,1440,16,0,1,4,0,0,4,44,2.75,2.695675549220764
Lewis Hall,72,0.8,0,0,0,0,0,0,2,2,NA
Lewis O'Brien,558,6.2,1,0,1,2,0,0,21,1.75,1.4847711791873706
Liam Cooper,836,9.28888888888889,1,0,2,1,0,1,27,2.7,2.8303906287138374
Lisandro Martínez,1204,13.377777777777778,0,0,5,3,0,1,38,2.7142857142857144,2.7576068618270453
Lloyd Kelly,630,7,0,2,2,1,0,3,24,3.4285714285714284,4.391550328268399
Lucas Digne,990,11,1,0,2,2,0,4,33,2.75,3.333712099692528
Lucas Moura,93,1.0333333333333334,0,0,0,0,0,0,8,1,0
Lucas Paquetá,759,8.433333333333334,0,2,1,2,0,3,27,2.7,2.263232692902394
Ludwig Augustinsson,53,0.5888888888888889,0,0,0,1,0,0,1,0.5,0.7071067811865476
Luis Díaz,613,6.811111111111111,3,2,2,2,0,4,39,4.875,4.356850107261306
Luis Sinisterra,450,5,2,0,0,1,1,3,22,2.4444444444444446,3.358240279934981
Luka Milivojevic,278,3.088888888888889,0,0,1,0,0,0,13,1.3,0.6749485577105528
Lukasz Fabianski,1423,15.811111111111112,0,0,3,0,0,7,62,3.6470588235294117,2.8491484796029023
Luke Ayling,248,2.7555555555555555,0,1,1,1,0,0,14,1.5555555555555556,1.509230856356236
Luke Harris,10,0.1111111111111111,0,0,0,0,0,0,3,1,0
Luke Shaw,963,10.7,0,2,5,3,0,7,47,3.9166666666666665,3.36987545853858
Luke Thomas,452,5.022222222222222,0,0,1,1,0,0,8,1.3333333333333333,2.8751811537130436
Lyanco,411,4.566666666666666,0,0,0,2,0,0,9,1,0
Mads Bech Sørensen,17,0.18888888888888888,0,0,0,0,0,0,3,1,0
Mads Roerslev,611,6.788888888888889,0,0,3,0,0,0,24,2.6666666666666665,2.5495097567963922
Malcolm Ebiowei,31,0.34444444444444444,0,0,0,0,0,0,3,1,0
Manor Solomon,24,0.26666666666666666,0,0,0,0,0,0,1,1,NA
Manuel Akanji,881,9.78888888888889,0,1,3,1,0,2,34,3.4,2.3190036174568114
Manuel Lanzini,121,1.3444444444444446,0,0,0,0,0,0,5,1,0
Marc Albrighton,28,0.3111111111111111,0,0,0,0,0,0,3,1,0
Marc Cucurella,1026,11.4,0,2,3,2,0,1,39,2.6,2.32379000772445
Marc Guehi,1350,15,0,0,4,5,0,1,35,2.3333333333333335,2.63673679998231
Marc Roca,1167,12.966666666666667,1,1,1,4,0,1,33,2.0625,1.9137659209004638
Marcos Senesi,1118,12.422222222222222,0,0,2,2,0,3,23,1.6428571428571428,2.6196635972272015
Marcus Rashford,1256,13.955555555555556,6,3,6,2,0,9,81,5.0625,5.039427877580285
Marcus Tavernier,1283,14.255555555555556,2,4,4,1,0,6,61,4.066666666666666,4.542917040635372
Marek Rodák,180,2,0,0,1,0,0,0,7,3.5,3.5355339059327378
Mark Travers,855,9.5,0,0,2,0,0,1,23,2.3,2.7100635498903793
Marquinhos,1,0.011111111111111112,0,0,0,0,0,0,1,1,NA
Martin Odegaard,1252,13.911111111111111,7,5,6,2,0,17,101,6.733333333333333,5.40458359261135
Mason Holgate,319,3.5444444444444443,0,0,1,1,0,2,12,3,3.366501646120693
Mason Mount,1191,13.233333333333333,3,3,5,2,0,8,65,4.0625,4.312288642163617
Mateo Joseph,1,0.011111111111111112,0,0,0,0,0,0,1,1,NA
Mateo Kovacic,659,7.322222222222222,0,1,2,2,0,0,21,1.75,1.0552897060221726
Mateusz Klich,239,2.6555555555555554,0,0,0,2,0,0,11,0.8461538461538461,0.3755338080994054
Matheus Nunes,979,10.877777777777778,0,1,3,1,0,3,32,2.2857142857142856,2.054210364052382
Mathias Jensen,1251,13.9,1,4,4,3,0,3,51,3,3.0618621784789726
Matt Doherty,516,5.733333333333333,0,0,2,0,0,0,20,2,2.1081851067789197
Matt Ritchie,3,0.03333333333333333,0,0,0,0,0,0,2,1,0
Matt Targett,420,4.666666666666667,0,0,2,0,0,2,23,2.3,2.5407785333546005
Matthew Cash,1053,11.7,0,0,1,3,0,0,19,1.3571428571428572,1.499083969380217
Max Kilman,1530,17,0,0,4,1,0,4,44,2.588235294117647,2.6471405216150634
Maxwel Cornet,85,0.9444444444444444,0,0,0,0,0,0,5,1,0
Michael Keane,22,0.24444444444444444,0,0,0,0,0,0,1,1,NA
Michael Olise,919,10.21111111111111,1,4,3,1,0,7,51,3.4,3.3763886032268267
Michail Antonio,714,7.933333333333334,2,1,1,1,0,3,35,2.1875,2.0402205763103165
Miguel Almirón,1420,15.777777777777779,9,2,10,0,0,9,104,6.117647058823529,3.9667737668850056
Mikkel Damsgaard,259,2.8777777777777778,0,0,1,2,0,0,9,1,0.8660254037844386
Mohamed Elneny,111,1.2333333333333334,0,0,0,0,0,0,6,1.2,0.44721359549995793
Mohamed Elyounoussi,1149,12.766666666666667,0,1,1,3,0,0,30,1.875,1.02469507659596
Mohamed Salah,1417,15.744444444444444,7,5,4,0,0,10,96,6,4.366539438350084
Mohammed Salisu,1439,15.988888888888889,0,1,1,4,0,2,25,1.5625,2.0966242709015206
Moisés Caicedo,1336,14.844444444444445,1,0,4,5,0,0,34,2.2666666666666666,1.486446705914413
Morgan Gibbs-White,1305,14.5,2,3,4,2,0,7,57,3.5625,3.61420807370024
Morgan Sanson,1,0.011111111111111112,0,0,0,0,0,0,1,1,NA
Moussa Djenepo,567,6.3,0,1,0,0,0,0,19,1.7272727272727273,1.1908743922772957
Moussa Niakhate,160,1.7777777777777777,0,0,1,0,0,0,7,3.5,3.5355339059327378
N&#039;Golo Kanté,174,1.9333333333333333,0,0,1,0,0,0,5,2.5,0.7071067811865476
Naby Keita,51,0.5666666666666667,0,0,0,0,0,0,2,1,0
Naif Aguerd,75,0.8333333333333334,0,0,0,0,0,0,2,2,NA
Nampalys Mendy,147,1.6333333333333333,0,0,0,0,0,0,6,1,0
Nathan Aké,750,8.333333333333334,0,0,3,0,0,1,30,3,2.3570226039551585
Nathan Collins,1202,13.355555555555556,0,0,3,2,1,6,33,2.357142857142857,3.3422043130738834
Nathan Patterson,924,10.266666666666667,0,0,2,3,0,0,24,2,1.954016841836789
Nathan Redmond,1,0.011111111111111112,0,0,0,0,0,0,1,1,NA
Nathaniel Chalobah,10,0.1111111111111111,0,0,0,0,1,0,0,0,1.7320508075688772
Nathaniel Clyne,736,8.177777777777777,0,0,1,1,0,0,19,1.9,1.5951314818673865
Nathaniel Phillips,65,0.7222222222222222,0,0,0,0,0,0,3,1.5,0.7071067811865476
Neal Maupay,651,7.233333333333333,1,0,2,2,0,3,24,2,2.2962419891481978
Neco Williams,1094,12.155555555555555,0,1,3,3,0,1,32,1.8823529411764706,2.394847410096739
Neeskens Kebano,711,7.9,0,4,3,0,0,0,35,2.9166666666666665,1.729862492345632
Nélson Semedo,829,9.21111111111111,0,1,1,4,1,1,20,1.3333333333333333,1.8771812708978117
Neto,675,7.5,0,0,2,2,0,1,25,3.125,2.748376143938713
Nick Pope,1530,17,0,0,9,2,0,6,82,4.823529411764706,2.9205156676015083
Odsonne Edouard,779,8.655555555555555,3,2,2,3,0,3,40,2.857142857142857,2.4449993820085063
Oleksandr Zinchenko,636,7.066666666666666,0,1,4,0,0,5,38,4.222222222222222,3.9616214413349042
Oliver Skipp,130,1.4444444444444444,0,0,0,1,0,0,7,1,0
Ollie Watkins,1351,15.011111111111111,3,4,4,1,0,3,57,3.5625,2.707243370416976
Orel Mangala,402,4.466666666666667,0,0,2,1,0,0,14,1.5555555555555556,0.8819171036881969
Oriol Romeu,74,0.8222222222222222,0,0,0,0,0,0,2,2,NA
Owen Bevan,8,0.08888888888888889,0,0,0,0,0,0,1,1,NA
Pablo Fornals,788,8.755555555555556,1,0,1,0,0,3,33,2.2,2.4842360136324753
Pascal Groß,1372,15.244444444444444,5,3,4,2,0,9,77,4.8125,4.0202611855450385
Pascal Struijk,1344,14.933333333333334,2,2,3,3,0,4,52,3.466666666666667,2.445598573141631
Patrick Bamford,425,4.722222222222222,0,2,0,0,0,0,17,1.7,1.70293863659264
Patson Daka,693,7.7,3,3,5,2,0,2,44,2.75,2.840187787218772
Pedro Neto,600,6.666666666666667,0,0,4,1,0,0,18,2.25,0.7071067811865476
Phil Foden,925,10.277777777777779,7,4,2,1,0,6,78,4.875,5.071160288007732
Philip Billing,1235,13.722222222222221,4,1,4,1,0,5,62,3.6470588235294117,2.8710010551763174
Philippe Coutinho,582,6.466666666666667,0,0,3,2,0,0,20,1.4285714285714286,0.8516306272526402
Pierre-Emerick Aubameyang,328,3.6444444444444444,1,0,1,1,0,3,17,2.125,2.799872446074234
